schema,table,column,description
reporting,IP_SEPSIS,AlertNotActivatedComment,The alert not activated comment recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,AlertNotActivatedReason,The alert not activated reason recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,BP,The b p recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,BloodCultureYN,The blood culture y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,BolusYN,The bolus y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,CSFYN,The c s f y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,CVLYN,The c v l y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,CVVHYN,The c v v h y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,CapillaryRefill,The capillary refill recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,Denominator,The denominator recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,Disposition,The disposition recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,DobutamineYN,The dobutamine y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,DopamineYN,The dopamine y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,DvtprophylaxisYN,The dvtprophylaxis y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,ECMOYN,The e c m o y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,EDLosHours,The e d los hours recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,ENCORDER,The e n c o r d e r recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,ENCOVERALLORDER,The e n c o v e r a l l o r d e r recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,ETTYN,The e t t y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,EncounterDiagnoses,The encounter diagnoses recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,EncounterWeight,The encounter weight recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,EpinephrineYN,The epinephrine y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,EthnicGroup,The ethnic group recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,ExternalCreatinine,The external creatinine recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,ExternalLactateResult,The external lactate result recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,ExternalPlatelets,The external platelets recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FY,The f y recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FYDate,The f y date recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FYMonthName,The f y month name recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FYMonthNumber,The numerical representation of the month within the fiscal year.
reporting,IP_SEPSIS,FYMonthShortName,The f y month short name recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FYYear,The f y year recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FifteenthOrEOM,The fifteenth or e o m recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstABXGivenInDeptYN,The first a b x given in dept y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstABXName,The first a b x name recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstABXTime,The first a b x time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstABXVolume,The first a b x volume recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstBloodCultureInDeptYN,The first blood culture in dept y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstBloodCultureOrderTime,The first blood culture order time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstBloodCultureProcedureOrdered,The first blood culture procedure ordered recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstBloodCultureResult,The first blood culture result recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstBolus,The first bolus recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstBolusGivenInDeptYN,The first bolus given in dept y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstBolusTime,The first bolus time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstBolusVolume,The first bolus volume recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstCSFInDeptYN,The first c s f in dept y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstCSFOrderTime,The first c s f order time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstCSFOrdered,The first c s f ordered recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstCVLInDeptYN,The first c v l in dept y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstCVLTime,The first c v l time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstETTInDeptYN,The first e t t in dept y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstHypotensionTakenInDeptYN,The first hypotension taken in dept y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstHypotensionTime,The first hypotension time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstHypotensionValue,The first hypotension value recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstIntubationTime,The first intubation time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstLacticAcidOrderTime,The first lactic acid order time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstLacticAcidResult,The first lactic acid result recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstLacticActidInDeptYN,The first lactic actid in dept y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstOrderSetID,The first order set i d recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstOrderSetInDeptYN,The first order set in dept y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstOrderSetTime,The first order set time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstPIVAfterScreen,The first p i v after screen recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstPIVInDeptYN,The first p i v in dept y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstPositiveScoreInED,The first positive score in e d recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstPositiveScoreTimeInED,The first positive score time in e d recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstProcalcitoninInDeptYN,The first procalcitonin in dept y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstProcalcitoninOrderTime,The first procalcitonin order time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstProcalcitoninResult,The first procalcitonin result recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstSVO2InDeptYN,The first s v o2 in dept y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,FirstSVO2Time,The first s v o2 time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,HematologicDysfunction,The hematologic dysfunction recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,HuddleDate,The huddle date recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,HuddleTime,The huddle time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,IPSOSevereSepsisYN,The i p s o severe sepsis y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,InDepartmentTime,The in department time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,InRecord,The in record recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,InfectiousSymptoms,The infectious symptoms recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,InpAdmDate,The date-time of the inpatient admission indicates when the patient first received a base patient class of inpatient during their hospital stay. This may differ from the admission date if the patient was initially assigned an emergency or outpatient base patient class.
reporting,IP_SEPSIS,LBrachialPulse,The l brachial pulse recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LPedalPulse,The l pedal pulse recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LPosteriorTibialPulse,The l posterior tibial pulse recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LRadialPulse,The l radial pulse recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LacticAcidYN,The lactic acid y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastABXGivenInDeptYN,The last a b x given in dept y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastABXName,The last a b x name recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastABXTime,The last a b x time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastABXToODScoreTime,The last a b x to o d score time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastABXToODScoreVolume,The last a b x to o d score volume recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastBloodCultureInDeptYN,The last blood culture in dept y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastBloodCultureOrderTime,The last blood culture order time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastBloodCultureProcedureOrdered,The last blood culture procedure ordered recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastBloodCultureResult,The last blood culture result recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastBolus,The last bolus recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastBolusGivenInDeptYN,The last bolus given in dept y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastBolusTime,The last bolus time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastBolusToScreenTime,The last bolus to screen time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastBolusVolume,The last bolus volume recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastCSFInDeptYN,The last c s f in dept y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastCSFOrderTime,The last c s f order time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastCSFOrdered,The last c s f ordered recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastCVLInDeptYN,The last c v l in dept y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastCVLTime,The last c v l time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastETTInDeptYN,The last e t t in dept y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastHypotensionTakenInDeptYN,The last hypotension taken in dept y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastHypotensionTime,The last hypotension time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastHypotensionValue,The last hypotension value recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastIntubationTime,The last intubation time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastLacticAcidInDeptYN,The last lactic acid in dept y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastLacticAcidOrderTime,The last lactic acid order time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastLacticAcidResult,The last lactic acid result recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastOrderSetID,The last order set i d recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastOrderSetInDeptYN,The last order set in dept y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastOrderSetTime,The last order set time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastPIVBeforeScreen,The last p i v before screen recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastPIVInDeptYN,The last p i v in dept y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastProcalcitoninInDeptYN,The last procalcitonin in dept y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastProcalcitoninOrderTime,The last procalcitonin order time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastProcalcitoninResult,The last procalcitonin result recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastSVO2InDeptYN,The last s v o2 in dept y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LastSVO2Time,The last s v o2 time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,Location,The location recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,LosHours,The los hours recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,MilrinoneYN,The milrinone y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,NeurologicalDysfunction,The neurological dysfunction recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,NorepinephrineYN,The norepinephrine y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,NoteAuthor,The note author recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,NoteCreatedTime,The note created time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,Notification,The notification recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,ODScoreToFirstABXTime,The o d score to first a b x time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,OXYN,The o x y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,OutDepartmentTime,The out department time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,OutRecord,The out record recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,PATENCENCID,The p a t e n c e n c i d recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,PIVYN,The p i v y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,PMDenom,The p m denom recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,PatientAssessedByMDPNP,The patient assessed by m d p n p recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,PerfusionWDL,The perfusion w d l recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,PhysicianName,The physician name recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,PositiveODScore,The positive o d score recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,Predisposition,The predisposition recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,PressorYN,The pressor y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,ProcalcitoninYN,The procalcitonin y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,Pulse,The PULSE measurement of the patient recorded during this encounter.
reporting,IP_SEPSIS,RBrachialPulse,The r brachial pulse recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,RPedalPulse,The r pedal pulse recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,RPosteriorTibialPulse,The r posterior tibial pulse recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,RRadialPulse,The r radial pulse recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,Race,The race recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,RenalDysfunction,The renal dysfunction recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,Resp,The resp recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,RespiratoryDysfunction,The respiratory dysfunction recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,SVO2YN,The s v o2 y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,ScoreTime,The score time recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,ScreenTimeToFirstBolus,The screen time to first bolus recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,SepsisPatientHuddleorAlertWithMDPNP,The sepsis patient huddleor alert with m d p n p recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,ShiftAMPM,The shift a m p m recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,ShiftCNs,The shift c ns recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,ShiftColor,The shift color recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,ShiftColorDisplay,The shift color display recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,ShiftCompliance,The shift compliance recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,ShiftDate,The shift date recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,ShiftEnd,The shift end recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,ShiftRNs,The shift r ns recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,ShiftStart,The shift start recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,SkinColor,The skin color recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,SkinConditionTemp,The skin condition temp recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,UniqueRow,The unique row recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,UnitOrder,The unit order recorded for inpatient sepsis screening results.
